path,size_bytes,file_count,purpose,classification,include_in_git,manifest_only,exclude,justification,risk_level,largest_files,private_path_or_mount_name_in_path,credential_like_filename_present,final_paper_relationship,future_iclr_relationship
aaai_upgrade/FALSIFICATION_SUITE_REPORT.md,1582,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/FALSIFICATION_SUITE_REPORT.md (1582 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/FIGURE_PLAN.md,1955,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/FIGURE_PLAN.md (1955 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/FIGURE_READINESS_AUDIT.md,1431,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/FIGURE_READINESS_AUDIT.md (1431 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/FIGURE_TABLE_QUALITY_AUDIT.md,9693,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/FIGURE_TABLE_QUALITY_AUDIT.md (9693 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/FINAL_AAAI_GO_NO_GO.md,2476,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/FINAL_AAAI_GO_NO_GO.md (2476 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/FINAL_BEYOND_NON_GPU_AUDIT.md,1033,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/FINAL_BEYOND_NON_GPU_AUDIT.md (1033 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/FINAL_CURRENT_STATE_ARTIFACT_AUDIT.md,10140,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/FINAL_CURRENT_STATE_ARTIFACT_AUDIT.md (10140 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/FINAL_MAIN_TABLE_FIGURE_PLAN.md,3058,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/FINAL_MAIN_TABLE_FIGURE_PLAN.md (3058 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/FINAL_PRE_GPU_AUDIT.md,1868,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/FINAL_PRE_GPU_AUDIT.md (1868 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/FINAL_PROFESSOR_PACKAGE.md,2804,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/FINAL_PROFESSOR_PACKAGE.md (2804 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/FINAL_RESULT_SUMMARY_TABLE.md,2972,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/FINAL_RESULT_SUMMARY_TABLE.md (2972 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/FINAL_STRENGTHENING_BASELINE_FREEZE.md,5940,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/FINAL_STRENGTHENING_BASELINE_FREEZE.md (5940 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/FINAL_SUPPORTED_AND_BLOCKED_CLAIMS.md,5973,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/FINAL_SUPPORTED_AND_BLOCKED_CLAIMS.md (5973 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/FRAUDSHIFTBENCH_FRAMEWORK_DEFINITION.md,4225,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/FRAUDSHIFTBENCH_FRAMEWORK_DEFINITION.md (4225 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/FRAUDSHIFT_STRESS_TEST_REPORT.md,1994,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/FRAUDSHIFT_STRESS_TEST_REPORT.md (1994 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/FRAUD_OPERATIONAL_METRICS.md,628,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/FRAUD_OPERATIONAL_METRICS.md (628 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/FRAUD_REVIEW_UTILITY_REPORT.md,847,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/FRAUD_REVIEW_UTILITY_REPORT.md (847 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GATING_BASELINE_BATTERY.md,876,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GATING_BASELINE_BATTERY.md (876 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GATING_DECISION_RULE.md,404,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GATING_DECISION_RULE.md (404 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GATING_DIAGNOSTIC_REPORT.md,3151,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GATING_DIAGNOSTIC_REPORT.md (3151 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GATING_FORMAL_DEFINITION.md,2257,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GATING_FORMAL_DEFINITION.md (2257 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GATING_SIMPLICITY_POLICY.md,481,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GATING_SIMPLICITY_POLICY.md (481 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GO_NO_GO_DECISION_MATRIX.md,1218,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GO_NO_GO_DECISION_MATRIX.md (1218 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GPS_SNAPSHOT_HARDENING_REPORT.md,5343,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GPS_SNAPSHOT_HARDENING_REPORT.md (5343 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GPU_RUNTIME_BUDGET.md,3366,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GPU_RUNTIME_BUDGET.md (3366 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPHSAFE_PROFESSOR_CRITERION_GAP_ANALYSIS.md,6685,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPHSAFE_PROFESSOR_CRITERION_GAP_ANALYSIS.md (6685 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPHSAFE_TTA_AAAI_CLAIM_VERDICT.md,7959,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPHSAFE_TTA_AAAI_CLAIM_VERDICT.md (7959 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPHSAFE_TTA_ABLATION_REPORT.md,1007,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPHSAFE_TTA_ABLATION_REPORT.md (1007 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPHSAFE_TTA_ACCEPTANCE_CRITERION_REPORT.md,13880,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPHSAFE_TTA_ACCEPTANCE_CRITERION_REPORT.md (13880 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPHSAFE_TTA_CONSERVATIVE_POLICY_REPORT.md,2219,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPHSAFE_TTA_CONSERVATIVE_POLICY_REPORT.md (2219 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPHSAFE_TTA_MAIN_REPORT.md,2497,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPHSAFE_TTA_MAIN_REPORT.md (2497 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPHSAFE_TTA_METHOD_SPEC.md,4888,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPHSAFE_TTA_METHOD_SPEC.md (4888 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPHSAFE_TTA_WORST_BLOCK_REPORT.md,5076,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPHSAFE_TTA_WORST_BLOCK_REPORT.md (5076 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPHSAFE_V2_METHOD_SPEC.md,1051,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPHSAFE_V2_METHOD_SPEC.md (1051 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPH_COUNTERFACTUAL_INTERVENTION_PLAN.md,2513,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPH_COUNTERFACTUAL_INTERVENTION_PLAN.md (2513 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPH_HARM_AND_GATING_METHOD_CARD.md,4434,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPH_HARM_AND_GATING_METHOD_CARD.md (4434 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPH_HARM_CORRELATION_PLAN.md,544,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPH_HARM_CORRELATION_PLAN.md (544 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPH_HARM_DECISION_RULE.md,328,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPH_HARM_DECISION_RULE.md (328 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPH_HARM_EXISTING_CODE_AUDIT.md,668,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPH_HARM_EXISTING_CODE_AUDIT.md (668 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPH_HARM_FAILURE_ATLAS.md,3527,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPH_HARM_FAILURE_ATLAS.md (3527 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPH_HARM_FAILURE_PREDICTION_TABLES.md,438,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPH_HARM_FAILURE_PREDICTION_TABLES.md (438 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPH_HARM_FORMAL_DEFINITION.md,2393,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPH_HARM_FORMAL_DEFINITION.md (2393 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPH_HARM_GATING_ABLATION_PLAN.md,3015,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPH_HARM_GATING_ABLATION_PLAN.md (3015 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPH_HARM_GATING_SUCCESS_CRITERIA.md,2676,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPH_HARM_GATING_SUCCESS_CRITERIA.md (2676 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPH_HARM_PREDICTABILITY_REPORT.md,1381,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPH_HARM_PREDICTABILITY_REPORT.md (1381 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPH_HARM_PREDICTOR_V2_REPORT.md,1385,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPH_HARM_PREDICTOR_V2_REPORT.md (1385 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/GRAPH_HARM_SCORE_DEFINITION.md,4522,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/GRAPH_HARM_SCORE_DEFINITION.md (4522 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/HARM_AWARE_GATE_REPORT.md,2294,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/HARM_AWARE_GATE_REPORT.md (2294 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/HIGHEST_POTENTIAL_ROADMAP.md,1107,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/HIGHEST_POTENTIAL_ROADMAP.md (1107 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/JOURNAL_FALLBACK_PLAN.md,3069,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/JOURNAL_FALLBACK_PLAN.md (3069 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/JOURNAL_MANUSCRIPT_STRATEGY_IF_METHOD_WEAK.md,618,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/JOURNAL_MANUSCRIPT_STRATEGY_IF_METHOD_WEAK.md (618 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/KAGGLE_12_HOUR_RESET_STRATEGY.md,911,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/KAGGLE_12_HOUR_RESET_STRATEGY.md (911 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/KAGGLE_2_5_HOUR_STRATEGY.md,824,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/KAGGLE_2_5_HOUR_STRATEGY.md (824 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/KAGGLE_AAAI_GPU_EXPANSION_IPYNB_RUNBOOKS.md,4388,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/KAGGLE_AAAI_GPU_EXPANSION_IPYNB_RUNBOOKS.md (4388 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/KAGGLE_AAAI_GPU_EXPANSION_STEP_BY_STEP.md,12552,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/KAGGLE_AAAI_GPU_EXPANSION_STEP_BY_STEP.md (12552 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/KAGGLE_AAAI_GPU_EXPANSION_ZIP_MANIFEST.md,2600,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/KAGGLE_AAAI_GPU_EXPANSION_ZIP_MANIFEST.md (2600 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/KAGGLE_ARTIFACT_DOWNLOAD_CHECKLIST.md,682,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/KAGGLE_ARTIFACT_DOWNLOAD_CHECKLIST.md (682 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/KAGGLE_FAILURE_RECOVERY.md,704,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/KAGGLE_FAILURE_RECOVERY.md (704 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/KAGGLE_GPU_NOTEBOOKS_README.md,6481,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/KAGGLE_GPU_NOTEBOOKS_README.md (6481 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/KAGGLE_OUTPUT_IMPORT_CHECKLIST.md,2673,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/KAGGLE_OUTPUT_IMPORT_CHECKLIST.md (2673 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/KAGGLE_PARTIAL_OUTPUT_RECOVERY.md,669,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/KAGGLE_PARTIAL_OUTPUT_RECOVERY.md (669 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/KAGGLE_RB11B_T4_OOM_RECOVERY.md,4551,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/KAGGLE_RB11B_T4_OOM_RECOVERY.md (4551 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/KAGGLE_RESET_RUNBOOK.md,690,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/KAGGLE_RESET_RUNBOOK.md (690 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/KAGGLE_RUNTIME_ESTIMATES.md,3800,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/KAGGLE_RUNTIME_ESTIMATES.md (3800 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/KAGGLE_T4X2_RUNBOOK_AUDIT.md,7593,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/KAGGLE_T4X2_RUNBOOK_AUDIT.md (7593 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/LEAKAGE_SENTINEL_PLAN.md,350,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/LEAKAGE_SENTINEL_PLAN.md (350 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/LIMITATIONS_SECTION_HARDENING.md,624,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/LIMITATIONS_SECTION_HARDENING.md (624 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/LITERATURE_POSITIONING_MATRIX.md,17367,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/LITERATURE_POSITIONING_MATRIX.md (17367 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/MAIN_APPENDIX_TABLE_POLICY.md,357,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/MAIN_APPENDIX_TABLE_POLICY.md (357 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/MAIN_FRAMEWORK_FIGURE_CAPTION.md,479,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/MAIN_FRAMEWORK_FIGURE_CAPTION.md (479 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/METHOD_EVIDENCE_VERDICT.md,3578,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/METHOD_EVIDENCE_VERDICT.md (3578 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/METHOD_FORMALIZATION.md,2848,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/METHOD_FORMALIZATION.md (2848 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/METHOD_SCAFFOLDS.md,3925,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/METHOD_SCAFFOLDS.md (3925 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
aaai_upgrade/METHOD_SECTION_AAAI_SAFE_REWRITE.md,2622,1,"Root configuration, documentation, script, report, or archive.",root-level candidate or report,allowlist only,possible,partial,Include only current portable configuration and required final documentation.,medium,aaai_upgrade/METHOD_SECTION_AAAI_SAFE_REWRITE.md (2622 B),False,False,"Indirect, historical, local-only, or no required final-paper relationship.",Not a preferred ICLR-method development surface.
