object_id,object_type,latex_label,caption_title,document,source_tex,generation_script,source_data_files,provenance_checksum_record,current_pdf_page,float_type,orientation,physical_width_in,physical_height_in,estimated_text_size_pt,row_count,column_count,caption_word_count,scientific_question,claim_ids,metrics,seed_scope,protocol_scope,feasibility_set,uncertainty,redundancy,visual_defects,scientific_communication_defects,page_utilization,print_readability,grayscale_readability,final_disposition,planned_replacement,final_destination
S-T18,longtable,tab:s-review-budget,Review-budget results,supplement,paper_tkde/supplement/tables/table_s17_review_budget.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/REVIEW_BUDGET_CURVES.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,40,longtable,landscape,9.0 landscape,auto,~5-7,30,7,2,Review-budget results,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,none,tiny type; landscape/raw-row density,insufficient narrative grouping,baseline page 40; often sparse landscape,microscopic or zoom-dependent,not color dependent,REDESIGN,Focused 1% table plus curves for 0.5/1/2%.,supplement
S-T19,longtable,tab:s-resources,Resource cases,supplement,paper_tkde/supplement/tables/table_s18_resources.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/RESOURCE_BOUNDARIES.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,42,longtable,portrait,6.6,auto,~5-7,6,5,2,Resource cases,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,none,tiny type; landscape/raw-row density,insufficient narrative grouping,baseline page 42; often sparse landscape,microscopic or zoom-dependent,not color dependent,SPLIT,Readable case-study cards with evidence/no-evidence and safe wording.,supplement
S-T20,longtable,tab:s-claims,Typed claim ledger,supplement,paper_tkde/supplement/tables/table_s19_claim_ledger.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/CLAIM_EVIDENCE_LEDGER.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,5,longtable,portrait,6.6,auto,~5-7,22,5,3,Typed claim ledger,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,none,tiny type; landscape/raw-row density,insufficient narrative grouping,baseline page 5; often sparse landscape,microscopic or zoom-dependent,not color dependent,SPLIT,Five thematic claim tables with concise permitted/prohibited quantifiers.,supplement
S-T21,longtable,tab:s-families,Evidence family and lock map,supplement,paper_tkde/supplement/tables/table_s20_evidence_families.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/EVIDENCE_INVENTORY.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,45,longtable,landscape,9.0 landscape,auto,~5-7,15,5,5,Evidence family and lock map,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,raw CSV duplication,tiny type; landscape/raw-row density,machine-readable detail dominates,baseline page 45; often sparse landscape,microscopic or zoom-dependent,not color dependent,MOVE_SUPPLEMENT_TO_ARTIFACT,Concise provenance map; exhaustive paths/checksums in artifact.,artifact
S-T22,longtable,tab:s-framework,Controlled validation cases,supplement,paper_tkde/supplement/tables/table_s21_framework_validation.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/FRAMEWORK_VALIDATION_CASES.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,44,longtable,landscape,9.0 landscape,auto,~5-7,14,7,3,Controlled validation cases,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,none,tiny type; landscape/raw-row density,insufficient narrative grouping,baseline page 44; often sparse landscape,microscopic or zoom-dependent,not color dependent,REDESIGN,"Readable mutation family, violated rule, expected/observed status, pass table.",supplement
S-T23,longtable,tab:s-false-promotion,False-promotion audit,supplement,paper_tkde/supplement/tables/table_s22_false_promotion.tex,scripts/tkde_rebuild/build_tables.py,results/tkde_rebuild/FALSE_PROMOTION_AUDIT.csv,results/tkde_rebuild/TABLE_DATA_PROVENANCE.csv,44,longtable,landscape,9.0 landscape,auto,~5-7,4,7,2,False-promotion audit,see CLAIM_EVIDENCE_LEDGER.csv,table-specific,1-10 where empirical,table-specific,explicit in source,table-specific,none,tiny type; landscape/raw-row density,insufficient narrative grouping,baseline page 44; often sparse landscape,microscopic or zoom-dependent,not color dependent,KEEP_WITH_MINOR_EDIT,Compact category/count/correct-treatment table.,supplement
S-E01,equation,unlabeled:S-E01,Raw label semantics,supplement,paper_tkde/supplement/sections/01_scope_notation.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,3,display,portrait,3.45,auto,10,n/a,n/a,3,Define raw label semantics without changing the frozen scientific specification.,,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain in the corresponding curated technical section.,supplement
S-E02,equation,unlabeled:S-E02,Eligibility and binary target,supplement,paper_tkde/supplement/sections/01_scope_notation.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,3,display,portrait,3.45,auto,10,n/a,n/a,4,Define eligibility and binary target without changing the frozen scientific specification.,,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain in the corresponding curated technical section.,supplement
S-E03,equation,unlabeled:S-E03,Scientific cell key,supplement,paper_tkde/supplement/sections/01_scope_notation.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,3,display,portrait,3.45,auto,10,n/a,n/a,3,Define scientific cell key without changing the frozen scientific specification.,,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain in the corresponding curated technical section.,supplement
S-E04,equation,unlabeled:S-E04,Deployment contract,supplement,paper_tkde/supplement/sections/02_contract_support.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,3,display,portrait,3.45,auto,10,n/a,n/a,2,Define deployment contract without changing the frozen scientific specification.,,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain in the corresponding curated technical section.,supplement
S-E05,equation,unlabeled:S-E05,Evidence unit,supplement,paper_tkde/supplement/sections/02_contract_support.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,4,display,portrait,3.45,auto,10,n/a,n/a,2,Define evidence unit without changing the frozen scientific specification.,,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain in the corresponding curated technical section.,supplement
S-E06,equation,unlabeled:S-E06,Typed claim,supplement,paper_tkde/supplement/sections/02_contract_support.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,4,display,portrait,3.45,auto,10,n/a,n/a,2,Define typed claim without changing the frozen scientific specification.,,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain in the corresponding curated technical section.,supplement
S-E07,equation,unlabeled:S-E07,Requirement monotonicity,supplement,paper_tkde/supplement/sections/02_contract_support.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,4,display,portrait,3.45,auto,10,n/a,n/a,2,Define requirement monotonicity without changing the frozen scientific specification.,,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain in the corresponding curated technical section.,supplement
S-E08,equation,unlabeled:S-E08,GCN update,supplement,paper_tkde/supplement/sections/04_models_constructions.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,7,display,portrait,3.45,auto,10,n/a,n/a,2,Define gcn update without changing the frozen scientific specification.,,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain in the corresponding curated technical section.,supplement
S-E09,equation,unlabeled:S-E09,GraphSAGE update,supplement,paper_tkde/supplement/sections/04_models_constructions.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,7,display,portrait,3.45,auto,10,n/a,n/a,2,Define graphsage update without changing the frozen scientific specification.,,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain in the corresponding curated technical section.,supplement
S-E10,equation,unlabeled:S-E10,IBM neighborhood summary,supplement,paper_tkde/supplement/sections/04_models_constructions.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,7,display,portrait,3.45,auto,10,n/a,n/a,3,Define ibm neighborhood summary without changing the frozen scientific specification.,,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain in the corresponding curated technical section.,supplement
S-E11,equation,unlabeled:S-E11,IBM edge score,supplement,paper_tkde/supplement/sections/04_models_constructions.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,7,display,portrait,3.45,auto,10,n/a,n/a,3,Define ibm edge score without changing the frozen scientific specification.,,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain in the corresponding curated technical section.,supplement
S-E12,equation,unlabeled:S-E12,GINE update,supplement,paper_tkde/supplement/sections/04_models_constructions.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,7,display,portrait,3.45,auto,10,n/a,n/a,2,Define gine update without changing the frozen scientific specification.,,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain in the corresponding curated technical section.,supplement
S-E13,equation,unlabeled:S-E13,Normalized AUPRC diagnostic,supplement,paper_tkde/supplement/sections/05_metrics_statistics.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,10,display,portrait,3.45,auto,10,n/a,n/a,3,Define normalized auprc diagnostic without changing the frozen scientific specification.,,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain in the corresponding curated technical section.,supplement
S-E14,equation,unlabeled:S-E14,"Precision, recall, and F1",supplement,paper_tkde/supplement/sections/05_metrics_statistics.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,10,display,portrait,3.45,auto,10,n/a,n/a,4,"Define precision, recall, and f1 without changing the frozen scientific specification.",,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain in the corresponding curated technical section.,supplement
S-E15,equation,unlabeled:S-E15,Illustrative cost risk,supplement,paper_tkde/supplement/sections/05_metrics_statistics.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,10,display,portrait,3.45,auto,10,n/a,n/a,3,Define illustrative cost risk without changing the frozen scientific specification.,,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain in the corresponding curated technical section.,supplement
S-E16,equation,unlabeled:S-E16,Brier score,supplement,paper_tkde/supplement/sections/05_metrics_statistics.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,10,display,portrait,3.45,auto,10,n/a,n/a,2,Define brier score without changing the frozen scientific specification.,,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain in the corresponding curated technical section.,supplement
S-E17,equation,unlabeled:S-E17,Paired Cohen dz,supplement,paper_tkde/supplement/sections/05_metrics_statistics.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,10,display,portrait,3.45,auto,10,n/a,n/a,3,Define paired cohen dz without changing the frozen scientific specification.,,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain in the corresponding curated technical section.,supplement
S-E18,equation,unlabeled:S-E18,GraphSafe reliability risk,supplement,paper_tkde/supplement/sections/08_graphsafe_case.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,39,display,portrait,3.45,auto,10,n/a,n/a,3,Define graphsafe reliability risk without changing the frozen scientific specification.,,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain in the corresponding curated technical section.,supplement
S-E19,equation,unlabeled:S-E19,GraphSafe switching score,supplement,paper_tkde/supplement/sections/08_graphsafe_case.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,39,display,portrait,3.45,auto,10,n/a,n/a,3,Define graphsafe switching score without changing the frozen scientific specification.,,n/a,n/a,all scoped contracts,n/a,n/a,none,none,none,embedded in prose,readable,not color dependent,KEEP_AS_IS,Retain in the corresponding curated technical section.,supplement
S-L01,landscape_block,unlabeled:S-L01,Model and training cards,supplement,paper_tkde/supplement/sections/04_models_constructions.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,9,landscape,landscape,9.0,multi-page,~5-7,multiple,multiple,4,Does landscape orientation materially improve readable scientific comparison?,,n/a,n/a,all scoped contracts,n/a,n/a,wrapper only,forced rotation and sparse pages,breaks narrative flow,often below 50%,tables remain microscopic,not color dependent,REDESIGN,Remove the wrapper; use portrait footnotesize curated tables and natural pagination.,supplement
S-L02,landscape_block,unlabeled:S-L02,Node protocol raw tables,supplement,paper_tkde/supplement/sections/06_protocol_grid_results.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,12-18,landscape,landscape,9.0,multi-page,~5-7,multiple,multiple,4,Does landscape orientation materially improve readable scientific comparison?,,n/a,n/a,all scoped contracts,n/a,n/a,wrapper only,forced rotation and sparse pages,breaks narrative flow,often below 50%,tables remain microscopic,not color dependent,REDESIGN,Remove the wrapper; use portrait footnotesize curated tables and natural pagination.,supplement
S-L03,landscape_block,unlabeled:S-L03,IBM raw and aggregate tables,supplement,paper_tkde/supplement/sections/07_ibm_results.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,21-38,landscape,landscape,9.0,multi-page,~5-7,multiple,multiple,5,Does landscape orientation materially improve readable scientific comparison?,,n/a,n/a,all scoped contracts,n/a,n/a,wrapper only,forced rotation and sparse pages,breaks narrative flow,often below 50%,tables remain microscopic,not color dependent,REDESIGN,Remove the wrapper; use portrait footnotesize curated tables and natural pagination.,supplement
S-L04,landscape_block,unlabeled:S-L04,GraphSafe tables,supplement,paper_tkde/supplement/sections/08_graphsafe_case.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,40-41,landscape,landscape,9.0,multi-page,~5-7,multiple,multiple,2,Does landscape orientation materially improve readable scientific comparison?,,n/a,n/a,all scoped contracts,n/a,n/a,wrapper only,forced rotation and sparse pages,breaks narrative flow,often below 50%,tables remain microscopic,not color dependent,REDESIGN,Remove the wrapper; use portrait footnotesize curated tables and natural pagination.,supplement
S-L05,landscape_block,unlabeled:S-L05,Validator tables,supplement,paper_tkde/supplement/sections/09_integrity_resources.tex,LaTeX source,n/a,results/tkde_rebuild/NUMBER_PROVENANCE_MAP.csv,44,landscape,landscape,9.0,multi-page,~5-7,multiple,multiple,2,Does landscape orientation materially improve readable scientific comparison?,,n/a,n/a,all scoped contracts,n/a,n/a,wrapper only,forced rotation and sparse pages,breaks narrative flow,often below 50%,tables remain microscopic,not color dependent,REDESIGN,Remove the wrapper; use portrait footnotesize curated tables and natural pagination.,supplement
